check,pass,detail
LONG_ENGINE_VERSION,True,ALT_DECISION_ENGINE_v0.3
LONG_PRODUCTION_4,True,"['ETH', 'LINK', 'ONDO', 'SOL']"
LONG_ETH_ZONE_READY,True,True
LONG_ETH_DCA_COMPLETE,True,"(2450.0, 1975.0, 1500.0)"
LONG_ETH_DCA_ORDER,True,"(2450.0, 1975.0, 1500.0)"
LONG_ETH_SUPPLY_BLOCKER,True,['IN_SUPPLY']
LONG_ETH_NO_BUY_IN_SUPPLY,True,CZEKAJ
LONG_LINK_ZONE_READY,True,True
LONG_LINK_DCA_COMPLETE,True,"(8.5, 7.35, 6.2)"
LONG_LINK_DCA_ORDER,True,"(8.5, 7.35, 6.2)"
LONG_LINK_SUPPLY_BLOCKER,True,['IN_SUPPLY']
LONG_LINK_NO_BUY_IN_SUPPLY,True,SPRAWDŹ
LONG_ONDO_ZONE_READY,True,True
LONG_ONDO_DCA_COMPLETE,True,"(0.348, 0.274, 0.2)"
LONG_ONDO_DCA_ORDER,True,"(0.348, 0.274, 0.2)"
LONG_ONDO_SUPPLY_BLOCKER,True,['IN_SUPPLY']
LONG_ONDO_NO_BUY_IN_SUPPLY,True,CZEKAJ
LONG_SOL_ZONE_READY,True,True
LONG_SOL_DCA_COMPLETE,True,"(97.0, 78.5, 60.0)"
LONG_SOL_DCA_ORDER,True,"(97.0, 78.5, 60.0)"
LONG_SOL_SUPPLY_BLOCKER,True,['IN_SUPPLY']
LONG_SOL_NO_BUY_IN_SUPPLY,True,CZEKAJ
TACT_ENGINE_VERSION,True,V8_TACTICAL_ENGINE_v0.3
TACT_PRODUCTION_4,True,"['ETH', 'LINK', 'ONDO', 'SOL']"
TACT_GLOBAL_QA,True,True
TACT_ETH_QA,True,PASS
TACT_ETH_TF_COMPLETE,True,"['1H', '4H', '1D']"
TACT_ETH_1H_CLOSED,True,True
TACT_ETH_1H_NOT_STALE,True,False
TACT_ETH_4H_CLOSED,True,True
TACT_ETH_4H_NOT_STALE,True,False
TACT_ETH_1D_CLOSED,True,True
TACT_ETH_1D_NOT_STALE,True,False
TACT_ETH_SUPPLY_BLOCKER,True,['IN_SUPPLY']
TACT_ETH_NO_LONG_IN_SUPPLY,True,WATCH_SUPPLY
TACT_LINK_QA,True,PASS
TACT_LINK_TF_COMPLETE,True,"['1H', '4H', '1D']"
TACT_LINK_1H_CLOSED,True,True
TACT_LINK_1H_NOT_STALE,True,False
TACT_LINK_4H_CLOSED,True,True
TACT_LINK_4H_NOT_STALE,True,False
TACT_LINK_1D_CLOSED,True,True
TACT_LINK_1D_NOT_STALE,True,False
TACT_LINK_SUPPLY_BLOCKER,True,['IN_SUPPLY']
TACT_LINK_NO_LONG_IN_SUPPLY,True,WATCH_SUPPLY
TACT_ONDO_QA,True,PASS
TACT_ONDO_TF_COMPLETE,True,"['1H', '4H', '1D']"
TACT_ONDO_1H_CLOSED,True,True
TACT_ONDO_1H_NOT_STALE,True,False
TACT_ONDO_4H_CLOSED,True,True
TACT_ONDO_4H_NOT_STALE,True,False
TACT_ONDO_1D_CLOSED,True,True
TACT_ONDO_1D_NOT_STALE,True,False
TACT_ONDO_SUPPLY_BLOCKER,True,['IN_SUPPLY']
TACT_ONDO_NO_LONG_IN_SUPPLY,True,WATCH_SUPPLY
TACT_SOL_QA,True,PASS
TACT_SOL_TF_COMPLETE,True,"['1H', '4H', '1D']"
TACT_SOL_1H_CLOSED,True,True
TACT_SOL_1H_NOT_STALE,True,False
TACT_SOL_4H_CLOSED,True,True
TACT_SOL_4H_NOT_STALE,True,False
TACT_SOL_1D_CLOSED,True,True
TACT_SOL_1D_NOT_STALE,True,False
TACT_SOL_SUPPLY_BLOCKER,True,['IN_SUPPLY']
TACT_SOL_NO_LONG_IN_SUPPLY,True,WATCH_SUPPLY
TACT_READINESS_STATUS,True,TACTICAL_CORE_READY_FOR_VALIDATION
TACT_READINESS_4_OF_4,True,"(4, 4)"
TACT_VALIDATION_ASSETS,True,"['ETH', 'LINK', 'ONDO', 'SOL']"
TACT_THRESHOLD_NOT_FROZEN,True,True
TACT_THRESHOLD_RESEARCH_ONLY,True,True
