symbol,pair,role,enabled,target_scope
BTC,BTCUSDT,MARKET_REGIME,true,PRODUCTION
ETH,ETHUSDT,CORE_ALT,true,PRODUCTION
SOL,SOLUSDT,ALT,true,PRODUCTION
LINK,LINKUSDT,ALT,true,PRODUCTION
ONDO,ONDOUSDT,ALT,true,PRODUCTION
RENDER,RENDERUSDT,ALT,true,PRODUCTION
FLOKI,FLOKIUSDT,ALT,true,PRODUCTION
PEPE,PEPEUSDT,ALT,true,PRODUCTION
SPX6900,SPXUSDT,ALT,true,PRODUCTION
XRP,XRPUSDT,ALT,true,PRODUCTION
XLM,XLMUSDT,ALT,true,PRODUCTION
HBAR,HBARUSDT,ALT,true,PRODUCTION
AVAX,AVAXUSDT,ALT,true,PRODUCTION
AWE,AWEUSDT,ALT,true,PRODUCTION
AAVE,AAVEUSDT,HISTORY,false,ARCHIVE
