symbol,data_quality,readiness_status,full_zones_ready,zone_timeframes,trend_score_0_4,fomo_score_0_10,rotation_label,market_phase,long_flow_score_0_10,long_flow_label,tactical_flow_score_0_5,direct_etf_5d_usdm,direct_etf_20d_usdm,direct_etf_30d_usdm,onchain_profile,onchain_coverage_pct,onchain_directional_votes,onchain_quality_gate,onchain_trusted,long_onchain_score_0_10,long_onchain_label,tactical_onchain_score_0_10,tactical_onchain_label,chain_tvl_usd,chain_tvl_30d_pct,dex_daily_usd,dex_30d_vs_prev30_pct,stablecoin_mcap_usd,stablecoin_30d_pct,chain_fees_daily_usd,chain_fees_30d_vs_prev30_pct,protocol_tvl_usd,protocol_tvl_30d_pct,protocol_fees_30d_usd,protocol_fees_30d_vs_prev30_pct,decision,dca1,dca2,dca3,blockers
BTC,,,,,,,,ALT_ROTATION_CANDIDATE,,,,,,,,,,,False,,INSUFFICIENT_QUALITY,,INSUFFICIENT_QUALITY,,,,,,,,,,,,,,,,,
ETH,100.0,PRODUCTION_DATA_READY,True,"1D,1T,2D,2T,3D,4D,5D",4.0,4.0,CORE_ALT,ALT_ROTATION_CANDIDATE,7.0,POSITIVE,3.0,536.5999999999999,1235.5000000000002,2241.9,CHAIN_L1,57.0,4.0,TRUSTED,True,9.0,STRONG_POSITIVE,9.0,STRONG_POSITIVE,53297170273.0,8.499592858436156,1494122468.1200001,43.09158258003134,147516482568.78,0.25642553017191094,12113367.139999999,16.154437171279845,,,,,CZEKAJ,2450.0,1975.0,1500.0,
SOL,100.0,PRODUCTION_DATA_READY,True,"1D,1T,2D,2T,3D,4D,5D",4.0,5.0,LEADER,ALT_ROTATION_CANDIDATE,7.0,POSITIVE,3.0,102.5,120.69999999999999,120.69999999999999,CHAIN_L1,57.0,4.0,TRUSTED,True,10.0,STRONG_POSITIVE,10.0,STRONG_POSITIVE,6387136482.0,14.588837472897964,3117040160.7,39.2945154177263,16818996217.32,3.7439046960764166,17269113.689999994,53.29403593734523,,,,,CZEKAJ,97.0,78.5,60.0,
LINK,100.0,PRODUCTION_DATA_READY,True,"1D,1T,2D,2T,3D,4D,5D",4.0,3.0,LEADER,ALT_ROTATION_CANDIDATE,7.0,POSITIVE,3.0,,,,ORACLE_INFRA,0.0,0.0,NO_DATA,False,,INSUFFICIENT_QUALITY,,INSUFFICIENT_QUALITY,,,,,,,,,,,,,SPRAWDŹ,8.5,7.35,6.2,
ONDO,100.0,PRODUCTION_DATA_READY,True,"1D,1T,2D,2T,3D,4D,5D",4.0,4.0,WATCH,ALT_ROTATION_CANDIDATE,7.0,POSITIVE,3.0,,,,RWA_PROTOCOL,20.0,1.0,PARTIAL,False,,INSUFFICIENT_QUALITY,,INSUFFICIENT_QUALITY,,,,,,,,,,,,,CZEKAJ,0.348,0.274,0.2,
RENDER,100.0,PRODUCTION_DATA_READY,True,"1D,1T,2D,2T,3D,4D,5D",4.0,7.0,NO_RS_LABEL,ALT_ROTATION_CANDIDATE,7.0,POSITIVE,3.0,,,,,,,,False,,INSUFFICIENT_QUALITY,,INSUFFICIENT_QUALITY,,,,,,,,,,,,,CZEKAJ,1.4,1.1,0.8,
FLOKI,100.0,PRODUCTION_DATA_READY,True,"1D,1T,2D,2T,3D,4D,5D",4.0,7.0,NO_RS_LABEL,ALT_ROTATION_CANDIDATE,7.0,POSITIVE,3.0,,,,,,,,False,,INSUFFICIENT_QUALITY,,INSUFFICIENT_QUALITY,,,,,,,,,,,,,SPRAWDŹ,2.6e-05,2.05e-05,1.5e-05,
PEPE,100.0,PRODUCTION_DATA_READY,True,"1D,1T,2D,2T,3D,4D,5D",4.0,9.0,NO_RS_LABEL,ALT_ROTATION_CANDIDATE,7.0,POSITIVE,3.0,,,,,,,,False,,INSUFFICIENT_QUALITY,,INSUFFICIENT_QUALITY,,,,,,,,,,,,,CZEKAJ — FOMO,3.5e-06,2.4999999999999998e-06,1.5e-06,
SPX6900,100.0,PRODUCTION_DATA_READY,True,"1D,1T,2D,2T,3D,4D,5D",4.0,2.0,NO_RS_LABEL,ALT_ROTATION_CANDIDATE,7.0,POSITIVE,3.0,,,,,,,,False,,INSUFFICIENT_QUALITY,,INSUFFICIENT_QUALITY,,,,,,,,,,,,,SPRAWDŹ,0.44,0.295,0.15,
XRP,100.0,PRODUCTION_DATA_READY,True,"1D,1T,2D,2T,3D,4D,5D",4.0,4.0,NO_RS_LABEL,ALT_ROTATION_CANDIDATE,7.0,POSITIVE,3.0,,,,,,,,False,,INSUFFICIENT_QUALITY,,INSUFFICIENT_QUALITY,,,,,,,,,,,,,CZEKAJ,1.3,0.91,0.52,
XLM,100.0,PRODUCTION_DATA_READY,True,"1D,1T,2D,2T,3D,4D,5D",4.0,5.0,NO_RS_LABEL,ALT_ROTATION_CANDIDATE,7.0,POSITIVE,3.0,,,,,,,,False,,INSUFFICIENT_QUALITY,,INSUFFICIENT_QUALITY,,,,,,,,,,,,,CZEKAJ,0.176,0.1505,0.125,
HBAR,100.0,PRODUCTION_DATA_READY,True,"1D,1T,2D,2T,3D,4D,5D",4.0,9.0,WATCH,ALT_ROTATION_CANDIDATE,7.0,POSITIVE,3.0,,,,,,,,False,,INSUFFICIENT_QUALITY,,INSUFFICIENT_QUALITY,,,,,,,,,,,,,CZEKAJ — FOMO,0.073,0.066,0.059,
AVAX,,,,,,,NO_RS_LABEL,ALT_ROTATION_CANDIDATE,7.0,,3.0,,,,,,,,False,,INSUFFICIENT_QUALITY,,INSUFFICIENT_QUALITY,,,,,,,,,,,,,DATA_PENDING,,,,TECHNICAL_LAYER_MISSING
