symbol,target_scope,price_data_ready,rotation_data_ready,zone_rows,zone_timeframes,core_zone_missing,full_zone_missing,zones_core_ready,zones_full_ready,decision,decision_ready,data_quality_score_0_100,readiness_status
ETH,PRODUCTION,True,True,30,"1D,2D,3D,4D,5D,1T,2T",,,True,True,CZEKAJ,True,100,PRODUCTION_DATA_READY
SOL,PRODUCTION,True,True,33,"1D,2D,3D,4D,5D,1T,2T",,,True,True,CZEKAJ,True,100,PRODUCTION_DATA_READY
LINK,PRODUCTION,True,True,27,"1D,2D,3D,4D,5D,1T,2T",,,True,True,SPRAWDŹ,True,100,PRODUCTION_DATA_READY
ONDO,PRODUCTION,True,True,28,"1D,2D,3D,4D,5D,1T,2T",,,True,True,CZEKAJ,True,100,PRODUCTION_DATA_READY
RENDER,PRODUCTION,True,True,20,"1D,2D,3D,4D,5D,1T,2T",,,True,True,CZEKAJ,True,100,PRODUCTION_DATA_READY
FLOKI,PRODUCTION,True,True,22,"1D,2D,3D,4D,5D,1T,2T",,,True,True,SPRAWDŹ,True,100,PRODUCTION_DATA_READY
PEPE,PRODUCTION,True,True,21,"1D,2D,3D,4D,5D,1T,2T",,,True,True,CZEKAJ — FOMO,True,100,PRODUCTION_DATA_READY
SPX6900,PRODUCTION,True,True,20,"1D,2D,3D,4D,5D,1T,2T",,,True,True,SPRAWDŹ,True,100,PRODUCTION_DATA_READY
XRP,PRODUCTION,True,True,24,"1D,2D,3D,4D,5D,1T,2T",,,True,True,CZEKAJ,True,100,PRODUCTION_DATA_READY
XLM,PRODUCTION,True,True,23,"1D,2D,3D,4D,5D,1T,2T",,,True,True,CZEKAJ,True,100,PRODUCTION_DATA_READY
HBAR,PRODUCTION,True,True,29,"1D,2D,3D,4D,5D,1T,2T",,,True,True,CZEKAJ — FOMO,True,100,PRODUCTION_DATA_READY
AVAX,PRODUCTION,True,True,28,"1D,2D,3D,4D,5D,1T,2T",,,True,True,CZEKAJ — FOMO,True,100,PRODUCTION_DATA_READY
AWE,PRODUCTION,True,True,20,"1D,2D,3D,4D,5D,1T,2T",,,True,True,CZEKAJ,True,100,PRODUCTION_DATA_READY
