symbol,target_scope,market_phase,rotation_score_0_10,rotation_status,rotation_label,individual_rs_0_4,vs_btc_5d_pct,vs_btc_20d_pct,vs_eth_5d_pct,vs_eth_20d_pct,trend_score_0_4,fomo_score_0_10,stablecoin_7d_pct,stablecoin_14d_pct,stablecoin_30d_pct,long_flow_score_0_10,tactical_flow_score_0_5,direct_etf_5d_usdm,direct_etf_20d_usdm,direct_etf_30d_usdm,direct_etf_trend,direct_etf_mature
ETH,PRODUCTION,ALT_ROTATION_CANDIDATE,7,CONFIRMED,CORE_ALT,,,,,,4,0,0.6734802822415675,0.5019175616420624,0.9081731828442852,7,3,689.8000000000001,1066.3000000000002,2485.4,INFLOW_ACCELERATING,True
SOL,PRODUCTION,ALT_ROTATION_CANDIDATE,7,CONFIRMED,LEADER,4.0,6.059180918939644,12.377056707365352,7.98262689515199,9.093036915046792,4,1,0.6734802822415675,0.5019175616420624,0.9081731828442852,7,3,188.1,259.09999999999997,259.09999999999997,INFLOW_ACCELERATING,False
LINK,PRODUCTION,ALT_ROTATION_CANDIDATE,7,CONFIRMED,LEADER,4.0,7.387690887169507,9.743755381957575,9.335230177422282,6.536689141593088,4,1,0.6734802822415675,0.5019175616420624,0.9081731828442852,7,3,,,,,
ONDO,PRODUCTION,ALT_ROTATION_CANDIDATE,7,CONFIRMED,WATCH,2.0,22.54240983282414,40.86112379971922,24.764788914635627,36.74470776178082,4,8,0.6734802822415675,0.5019175616420624,0.9081731828442852,7,3,,,,,
RENDER,PRODUCTION,ALT_ROTATION_CANDIDATE,7,CONFIRMED,NO_RS_LABEL,,,,,,4,5,0.6734802822415675,0.5019175616420624,0.9081731828442852,7,3,,,,,
FLOKI,PRODUCTION,ALT_ROTATION_CANDIDATE,7,CONFIRMED,NO_RS_LABEL,,,,,,3,1,0.6734802822415675,0.5019175616420624,0.9081731828442852,7,3,,,,,
PEPE,PRODUCTION,ALT_ROTATION_CANDIDATE,7,CONFIRMED,NO_RS_LABEL,,,,,,4,1,0.6734802822415675,0.5019175616420624,0.9081731828442852,7,3,,,,,
SPX6900,PRODUCTION,ALT_ROTATION_CANDIDATE,7,CONFIRMED,NO_RS_LABEL,,,,,,2,0,0.6734802822415675,0.5019175616420624,0.9081731828442852,7,3,,,,,
XRP,PRODUCTION,ALT_ROTATION_CANDIDATE,7,CONFIRMED,NO_RS_LABEL,,,,,,4,1,0.6734802822415675,0.5019175616420624,0.9081731828442852,7,3,,,,,
XLM,PRODUCTION,ALT_ROTATION_CANDIDATE,7,CONFIRMED,NO_RS_LABEL,,,,,,4,3,0.6734802822415675,0.5019175616420624,0.9081731828442852,7,3,,,,,
HBAR,PRODUCTION,ALT_ROTATION_CANDIDATE,7,CONFIRMED,WATCH,2.0,6.743700385482643,13.230546227295893,8.67956052708978,9.921584720377275,4,3,0.6734802822415675,0.5019175616420624,0.9081731828442852,7,3,,,,,
AVAX,PRODUCTION,ALT_ROTATION_CANDIDATE,7,CONFIRMED,NO_RS_LABEL,,,,,,4,1,0.6734802822415675,0.5019175616420624,0.9081731828442852,7,3,,,,,
AWE,PRODUCTION,ALT_ROTATION_CANDIDATE,7,CONFIRMED,NO_RS_LABEL,,,,,,4,0,0.6734802822415675,0.5019175616420624,0.9081731828442852,7,3,,,,,
