date,symbol,coverage_pct,active_addresses,active_addresses_7d_pct,active_addresses_30d_pct,tx_count,tx_count_7d_pct,tx_count_30d_pct,transfer_value_adj_usd,transfer_value_7d_pct,transfer_value_30d_pct,tvl_usd,tvl_7d_pct,tvl_30d_pct,dex_daily_usd,dex_7d_vs_prev7_pct,dex_30d_vs_prev30_pct,long_onchain_score_0_10,long_onchain_label,tactical_onchain_score_0_10,tactical_onchain_label,chain_tvl_usd,chain_tvl_7d_pct,chain_tvl_30d_pct,protocol_tvl_usd,protocol_tvl_7d_pct,protocol_tvl_30d_pct,oracle_tvs_usd,oracle_tvs_7d_pct,oracle_tvs_30d_pct,metric_profile,directional_votes,quality_gate,stablecoin_mcap_usd,stablecoin_7d_pct,stablecoin_30d_pct,chain_fees_daily_usd,chain_fees_7d_vs_prev7_pct,chain_fees_30d_vs_prev30_pct,protocol_tvl_quality,protocol_fees_30d_usd,protocol_fees_7d_vs_prev7_pct,protocol_fees_30d_vs_prev30_pct
2026-09-23,ETH,57,,,,,,,,,,,,,1494122468.12,24.98874547041483,43.09158258003134,9.0,STRONG_POSITIVE,9.0,STRONG_POSITIVE,53297170273.0,9.373636730487236,8.499592858436156,,,,,,,CHAIN_L1,4.0,TRUSTED,147516482568.78,-0.2728705691005251,0.2564255301719109,12113367.14,4.140993468098886,16.154437171279845,NO_DATA,,,
2026-09-23,LINK,0,,,,,,,,,,,,,,,,,INSUFFICIENT_QUALITY,,INSUFFICIENT_QUALITY,,,,,,,,,,ORACLE_INFRA,0.0,NO_DATA,,,,,,,NO_DATA,,,
2026-09-23,ONDO,20,,,,,,,,,,,,,,,,,INSUFFICIENT_QUALITY,,INSUFFICIENT_QUALITY,,,,,,,,,,RWA_PROTOCOL,1.0,PARTIAL,,,,,,,NO_DATA,7663856.0,-9.543494956788336,11.5731025737708
2026-09-23,SOL,57,,,,,,,,,,,,,3117040160.7,20.69040273685505,39.2945154177263,10.0,STRONG_POSITIVE,10.0,STRONG_POSITIVE,6387136482.0,11.572048629178466,14.588837472897964,,,,,,,CHAIN_L1,4.0,TRUSTED,16818996217.32,5.797244228931997,3.7439046960764166,17269113.689999994,13.436123903546491,53.29403593734523,NO_DATA,,,
2026-09-24,ETH,57,,,,,,,,,,,,,1278386167.7800002,19.591995054271827,35.424697925138446,9.0,STRONG_POSITIVE,8.0,STRONG_POSITIVE,53561065070.0,8.871916700098193,8.727489703194946,,,,,,,CHAIN_L1,4.0,TRUSTED,147650260894.52,0.0273742941250043,0.0040037675249182,11910891.889999991,1.540639213104722,15.121174004879002,NO_DATA,,,
2026-09-24,LINK,0,,,,,,,,,,,,,,,,,INSUFFICIENT_QUALITY,,INSUFFICIENT_QUALITY,,,,,,,,,,ORACLE_INFRA,0.0,NO_DATA,,,,,,,NO_DATA,,,
2026-09-24,ONDO,20,,,,,,,,,,,,,,,,,INSUFFICIENT_QUALITY,,INSUFFICIENT_QUALITY,,,,,,,,,,RWA_PROTOCOL,1.0,PARTIAL,,,,,,,NO_DATA,7355419.0,-9.543494956788336,11.5731025737708
2026-09-24,SOL,57,,,,,,,,,,,,,1527748541.41,8.370604418988936,30.038016100123244,9.0,STRONG_POSITIVE,10.0,STRONG_POSITIVE,6400918596.0,10.703380056087596,11.321966501560876,,,,,,,CHAIN_L1,4.0,TRUSTED,16365358371.67,4.212421724983728,1.0730138876826167,15650391.15,12.540936305492046,49.78353279595164,NO_DATA,,,
2026-09-25,ETH,57,,,,,,,,,,,,,1526992924.6599998,20.63957983600371,36.54621488460605,9.0,STRONG_POSITIVE,9.0,STRONG_POSITIVE,53382766921.0,7.139467556807699,8.931364742863689,,,,,,,CHAIN_L1,4.0,TRUSTED,147542498443.03,-0.12373364235774842,-0.2978498432842813,16713706.56,13.620307093906426,20.796669557194768,NO_DATA,,,
2026-09-25,LINK,0,,,,,,,,,,,,,,,,,INSUFFICIENT_QUALITY,,INSUFFICIENT_QUALITY,,,,,,,,,,ORACLE_INFRA,0.0,NO_DATA,,,,,,,NO_DATA,,,
2026-09-25,ONDO,20,,,,,,,,,,,,,,,,,INSUFFICIENT_QUALITY,,INSUFFICIENT_QUALITY,,,,,,,,,,RWA_PROTOCOL,1.0,PARTIAL,,,,,,,NO_DATA,7112485.0,-9.543494956788335,11.5731025737708
2026-09-25,SOL,57,,,,,,,,,,,,,1239369964.38,-2.0511503282634957,28.13544824281251,10.0,STRONG_POSITIVE,8.0,STRONG_POSITIVE,6462001398.0,9.579551342845672,15.00254187596688,,,,,,,CHAIN_L1,4.0,TRUSTED,17627413116.61,12.653181713600858,9.603592964157205,15156022.519999996,13.366462485443286,41.871940145487784,NO_DATA,,,
