open_time,close_time,open,high,low,close,volume
2026-04-10 04:00:00+00:00,2026-04-10 07:59:59.999000+00:00,90.0,91.01,89.51,89.71,11339.608
2026-04-10 08:00:00+00:00,2026-04-10 11:59:59.999000+00:00,89.71,90.66,89.19,90.07,14350.148
2026-04-10 12:00:00+00:00,2026-04-10 15:59:59.999000+00:00,90.06,92.74,89.8,91.68,22334.417
2026-04-10 16:00:00+00:00,2026-04-10 19:59:59.999000+00:00,91.69,94.62,91.69,94.55,18563.801
2026-04-10 20:00:00+00:00,2026-04-10 23:59:59.999000+00:00,94.55,95.47,93.36,93.62,15414.814
2026-04-11 00:00:00+00:00,2026-04-11 03:59:59.999000+00:00,93.62,93.8,92.6,92.62,9436.192
2026-04-11 04:00:00+00:00,2026-04-11 07:59:59.999000+00:00,92.6,92.78,91.37,91.64,8184.53
2026-04-11 08:00:00+00:00,2026-04-11 11:59:59.999000+00:00,91.65,92.35,91.45,91.85,6075.968
2026-04-11 12:00:00+00:00,2026-04-11 15:59:59.999000+00:00,91.84,92.47,90.94,92.36,23001.007
2026-04-11 16:00:00+00:00,2026-04-11 19:59:59.999000+00:00,92.37,96.64,92.27,96.13,26997.534
2026-04-11 20:00:00+00:00,2026-04-11 23:59:59.999000+00:00,96.12,96.4,93.91,94.52,19488.784
2026-04-12 00:00:00+00:00,2026-04-12 03:59:59.999000+00:00,94.51,94.74,89.66,90.0,29201.841
2026-04-12 04:00:00+00:00,2026-04-12 07:59:59.999000+00:00,90.0,90.28,89.43,89.84,12248.137
2026-04-12 08:00:00+00:00,2026-04-12 11:59:59.999000+00:00,89.86,90.26,89.29,89.93,12630.154
2026-04-12 12:00:00+00:00,2026-04-12 15:59:59.999000+00:00,89.92,90.45,88.73,89.2,12611.938
2026-04-12 16:00:00+00:00,2026-04-12 19:59:59.999000+00:00,89.19,91.52,89.09,90.29,17023.17
2026-04-12 20:00:00+00:00,2026-04-12 23:59:59.999000+00:00,90.3,91.75,89.35,89.84,18085.38
2026-04-13 00:00:00+00:00,2026-04-13 03:59:59.999000+00:00,89.85,94.84,89.68,94.58,31645.653
2026-04-13 04:00:00+00:00,2026-04-13 07:59:59.999000+00:00,94.58,98.39,94.36,96.04,85110.704
2026-04-13 08:00:00+00:00,2026-04-13 11:59:59.999000+00:00,96.04,96.04,93.4,93.94,25419.561
2026-04-13 12:00:00+00:00,2026-04-13 15:59:59.999000+00:00,93.93,95.39,93.05,94.25,34341.924
2026-04-13 16:00:00+00:00,2026-04-13 19:59:59.999000+00:00,94.26,97.01,93.67,96.82,22370.113
2026-04-13 20:00:00+00:00,2026-04-13 23:59:59.999000+00:00,96.82,103.73,96.09,103.26,59480.814
2026-04-14 00:00:00+00:00,2026-04-14 03:59:59.999000+00:00,103.26,104.27,100.27,101.55,50546.56
2026-04-14 04:00:00+00:00,2026-04-14 07:59:59.999000+00:00,101.56,101.7,99.34,100.01,18663.299
2026-04-14 08:00:00+00:00,2026-04-14 11:59:59.999000+00:00,100.01,101.55,99.91,100.34,13734.146
2026-04-14 12:00:00+00:00,2026-04-14 15:59:59.999000+00:00,100.33,101.34,98.89,99.64,45636.775
2026-04-14 16:00:00+00:00,2026-04-14 19:59:59.999000+00:00,99.63,100.12,97.19,98.26,23526.193
2026-04-14 20:00:00+00:00,2026-04-14 23:59:59.999000+00:00,98.26,100.38,97.9,99.99,13497.879
2026-04-15 00:00:00+00:00,2026-04-15 03:59:59.999000+00:00,99.99,101.22,99.86,100.18,26784.069
2026-04-15 04:00:00+00:00,2026-04-15 07:59:59.999000+00:00,100.19,101.09,99.0,99.32,17889.866
2026-04-15 08:00:00+00:00,2026-04-15 11:59:59.999000+00:00,99.3,102.19,99.22,101.47,21785.518
2026-04-15 12:00:00+00:00,2026-04-15 15:59:59.999000+00:00,101.46,108.68,101.34,108.09,77824.593
2026-04-15 16:00:00+00:00,2026-04-15 19:59:59.999000+00:00,108.1,108.84,105.92,107.77,47682.431
2026-04-15 20:00:00+00:00,2026-04-15 23:59:59.999000+00:00,107.78,107.78,104.76,105.53,15514.403
2026-04-16 00:00:00+00:00,2026-04-16 03:59:59.999000+00:00,105.53,106.99,105.24,106.82,26175.27
2026-04-16 04:00:00+00:00,2026-04-16 07:59:59.999000+00:00,106.82,108.13,106.01,106.17,27896.296
2026-04-16 08:00:00+00:00,2026-04-16 11:59:59.999000+00:00,106.16,106.82,105.05,106.17,22025.374
2026-04-16 12:00:00+00:00,2026-04-16 15:59:59.999000+00:00,106.17,110.0,103.16,109.9,65523.901
2026-04-16 16:00:00+00:00,2026-04-16 19:59:59.999000+00:00,109.91,117.54,108.01,116.58,93550.922
2026-04-16 20:00:00+00:00,2026-04-16 23:59:59.999000+00:00,116.58,117.57,113.42,115.46,43897.549
2026-04-17 00:00:00+00:00,2026-04-17 03:59:59.999000+00:00,115.46,115.78,112.84,113.71,25789.267
2026-04-17 04:00:00+00:00,2026-04-17 07:59:59.999000+00:00,113.72,114.16,111.5,113.29,24519.887
2026-04-17 08:00:00+00:00,2026-04-17 11:59:59.999000+00:00,113.29,117.45,113.01,117.36,58544.044
2026-04-17 12:00:00+00:00,2026-04-17 15:59:59.999000+00:00,117.37,118.56,115.55,116.55,59713.43
2026-04-17 16:00:00+00:00,2026-04-17 19:59:59.999000+00:00,116.55,118.87,116.27,117.03,26581.788
2026-04-17 20:00:00+00:00,2026-04-17 23:59:59.999000+00:00,117.04,117.36,114.67,114.86,16754.724
2026-04-18 00:00:00+00:00,2026-04-18 03:59:59.999000+00:00,114.86,116.08,113.79,114.13,19355.305
2026-04-18 04:00:00+00:00,2026-04-18 07:59:59.999000+00:00,114.13,115.53,113.91,114.89,13145.537
2026-04-18 08:00:00+00:00,2026-04-18 11:59:59.999000+00:00,114.88,115.19,110.81,111.31,36301.584
2026-04-18 12:00:00+00:00,2026-04-18 15:59:59.999000+00:00,111.3,113.46,110.47,113.03,19947.928
2026-04-18 16:00:00+00:00,2026-04-18 19:59:59.999000+00:00,113.03,113.2,99.22,103.76,168698.639
2026-04-18 20:00:00+00:00,2026-04-18 23:59:59.999000+00:00,103.74,107.9,100.99,101.15,116660.693
2026-04-19 00:00:00+00:00,2026-04-19 03:59:59.999000+00:00,101.16,101.28,94.38,95.38,185213.983
2026-04-19 04:00:00+00:00,2026-04-19 07:59:59.999000+00:00,95.39,95.48,91.38,92.55,138783.416
2026-04-19 08:00:00+00:00,2026-04-19 11:59:59.999000+00:00,92.54,94.03,90.33,91.06,152483.396
2026-04-19 12:00:00+00:00,2026-04-19 15:59:59.999000+00:00,91.05,94.21,89.52,91.98,119688.76
2026-04-19 16:00:00+00:00,2026-04-19 19:59:59.999000+00:00,91.98,93.51,88.89,91.09,94748.949
2026-04-19 20:00:00+00:00,2026-04-19 23:59:59.999000+00:00,91.08,91.16,88.7,90.28,46996.529
2026-04-20 00:00:00+00:00,2026-04-20 03:59:59.999000+00:00,90.29,94.45,89.98,93.21,122076.247
2026-04-20 04:00:00+00:00,2026-04-20 07:59:59.999000+00:00,93.2,93.74,90.6,92.43,80282.411
2026-04-20 08:00:00+00:00,2026-04-20 11:59:59.999000+00:00,92.43,92.52,88.98,90.44,87482.561
2026-04-20 12:00:00+00:00,2026-04-20 15:59:59.999000+00:00,90.45,91.13,86.34,87.24,96743.276
2026-04-20 16:00:00+00:00,2026-04-20 19:59:59.999000+00:00,87.23,90.56,86.7,89.99,61346.808
2026-04-20 20:00:00+00:00,2026-04-20 23:59:59.999000+00:00,89.98,94.99,89.74,90.65,118449.849
2026-04-21 00:00:00+00:00,2026-04-21 03:59:59.999000+00:00,90.65,94.83,90.24,93.6,82562.688
2026-04-21 04:00:00+00:00,2026-04-21 07:59:59.999000+00:00,93.58,95.65,91.87,92.48,89273.027
2026-04-21 08:00:00+00:00,2026-04-21 11:59:59.999000+00:00,92.47,94.48,92.16,93.09,56076.327
