open_time,close_time,open,high,low,close,volume
2026-04-11 16:00:00+00:00,2026-04-11 19:59:59.999000+00:00,2.019,2.082,2.018,2.066,785285.2
2026-04-11 20:00:00+00:00,2026-04-11 23:59:59.999000+00:00,2.065,2.065,1.993,2.017,696915.32
2026-04-12 00:00:00+00:00,2026-04-12 03:59:59.999000+00:00,2.017,2.022,1.926,1.927,1082512.24
2026-04-12 04:00:00+00:00,2026-04-12 07:59:59.999000+00:00,1.926,1.93,1.899,1.91,668827.49
2026-04-12 08:00:00+00:00,2026-04-12 11:59:59.999000+00:00,1.911,1.919,1.882,1.904,548703.86
2026-04-12 12:00:00+00:00,2026-04-12 15:59:59.999000+00:00,1.904,1.912,1.861,1.878,776839.08
2026-04-12 16:00:00+00:00,2026-04-12 19:59:59.999000+00:00,1.877,1.903,1.876,1.895,468081.78
2026-04-12 20:00:00+00:00,2026-04-12 23:59:59.999000+00:00,1.895,1.906,1.87,1.884,435937.91
2026-04-13 00:00:00+00:00,2026-04-13 03:59:59.999000+00:00,1.885,1.916,1.879,1.893,369552.8
2026-04-13 04:00:00+00:00,2026-04-13 07:59:59.999000+00:00,1.893,1.905,1.854,1.858,526706.35
2026-04-13 08:00:00+00:00,2026-04-13 11:59:59.999000+00:00,1.858,1.863,1.848,1.862,417030.4
2026-04-13 12:00:00+00:00,2026-04-13 15:59:59.999000+00:00,1.861,1.916,1.855,1.871,813380.53
2026-04-13 16:00:00+00:00,2026-04-13 19:59:59.999000+00:00,1.872,1.903,1.862,1.902,547305.48
2026-04-13 20:00:00+00:00,2026-04-13 23:59:59.999000+00:00,1.902,1.948,1.88,1.921,1091639.55
2026-04-14 00:00:00+00:00,2026-04-14 03:59:59.999000+00:00,1.922,1.939,1.898,1.931,370327.16
2026-04-14 04:00:00+00:00,2026-04-14 07:59:59.999000+00:00,1.931,1.939,1.888,1.899,320997.59
2026-04-14 08:00:00+00:00,2026-04-14 11:59:59.999000+00:00,1.9,1.904,1.88,1.882,467689.38
2026-04-14 12:00:00+00:00,2026-04-14 15:59:59.999000+00:00,1.882,1.914,1.861,1.866,793085.98
2026-04-14 16:00:00+00:00,2026-04-14 19:59:59.999000+00:00,1.867,1.877,1.82,1.841,787734.1
2026-04-14 20:00:00+00:00,2026-04-14 23:59:59.999000+00:00,1.841,1.846,1.821,1.833,459876.01
2026-04-15 00:00:00+00:00,2026-04-15 03:59:59.999000+00:00,1.833,1.901,1.822,1.877,546396.96
2026-04-15 04:00:00+00:00,2026-04-15 07:59:59.999000+00:00,1.877,1.888,1.846,1.851,395750.11
2026-04-15 08:00:00+00:00,2026-04-15 11:59:59.999000+00:00,1.853,1.887,1.85,1.877,296142.6
2026-04-15 12:00:00+00:00,2026-04-15 15:59:59.999000+00:00,1.878,1.901,1.858,1.862,465771.28
2026-04-15 16:00:00+00:00,2026-04-15 19:59:59.999000+00:00,1.861,1.921,1.859,1.906,571967.32
2026-04-15 20:00:00+00:00,2026-04-15 23:59:59.999000+00:00,1.906,1.907,1.87,1.887,276361.29
2026-04-16 00:00:00+00:00,2026-04-16 03:59:59.999000+00:00,1.888,1.894,1.863,1.892,383751.95
2026-04-16 04:00:00+00:00,2026-04-16 07:59:59.999000+00:00,1.892,1.909,1.872,1.887,806015.71
2026-04-16 08:00:00+00:00,2026-04-16 11:59:59.999000+00:00,1.888,1.891,1.86,1.879,426990.56
2026-04-16 12:00:00+00:00,2026-04-16 15:59:59.999000+00:00,1.878,1.9,1.806,1.853,1840375.18
2026-04-16 16:00:00+00:00,2026-04-16 19:59:59.999000+00:00,1.852,1.891,1.821,1.887,1174189.1
2026-04-16 20:00:00+00:00,2026-04-16 23:59:59.999000+00:00,1.888,1.893,1.848,1.875,967333.42
2026-04-17 00:00:00+00:00,2026-04-17 03:59:59.999000+00:00,1.876,1.899,1.86,1.865,1111186.37
2026-04-17 04:00:00+00:00,2026-04-17 07:59:59.999000+00:00,1.864,1.871,1.834,1.86,488255.93
2026-04-17 08:00:00+00:00,2026-04-17 11:59:59.999000+00:00,1.861,1.889,1.847,1.875,549124.73
2026-04-17 12:00:00+00:00,2026-04-17 15:59:59.999000+00:00,1.876,1.965,1.869,1.915,2155701.4
2026-04-17 16:00:00+00:00,2026-04-17 19:59:59.999000+00:00,1.915,1.961,1.899,1.906,876813.23
2026-04-17 20:00:00+00:00,2026-04-17 23:59:59.999000+00:00,1.907,1.913,1.856,1.868,928866.89
2026-04-18 00:00:00+00:00,2026-04-18 03:59:59.999000+00:00,1.867,1.877,1.844,1.852,656931.27
2026-04-18 04:00:00+00:00,2026-04-18 07:59:59.999000+00:00,1.852,1.88,1.849,1.871,414874.77
2026-04-18 08:00:00+00:00,2026-04-18 11:59:59.999000+00:00,1.872,1.872,1.793,1.807,793487.92
