open_time,close_time,open,high,low,close,volume
2026-04-12 04:00:00+00:00,2026-04-12 07:59:59.999000+00:00,82.32,82.5,82.06,82.27,232256.931
2026-04-12 08:00:00+00:00,2026-04-12 11:59:59.999000+00:00,82.28,82.41,81.92,82.22,260332.784
2026-04-12 12:00:00+00:00,2026-04-12 15:59:59.999000+00:00,82.21,82.56,81.27,81.59,518788.007
2026-04-12 16:00:00+00:00,2026-04-12 19:59:59.999000+00:00,81.59,82.32,81.53,81.99,166707.057
2026-04-12 20:00:00+00:00,2026-04-12 23:59:59.999000+00:00,81.98,82.88,81.27,81.53,366057.445
2026-04-13 00:00:00+00:00,2026-04-13 03:59:59.999000+00:00,81.54,82.44,81.4,81.91,244773.3
2026-04-13 04:00:00+00:00,2026-04-13 07:59:59.999000+00:00,81.9,82.6,81.54,82.17,216328.764
2026-04-13 08:00:00+00:00,2026-04-13 11:59:59.999000+00:00,82.17,82.32,81.64,81.86,291426.641
2026-04-13 12:00:00+00:00,2026-04-13 15:59:59.999000+00:00,81.86,83.82,81.82,82.65,681567.622
2026-04-13 16:00:00+00:00,2026-04-13 19:59:59.999000+00:00,82.66,84.25,82.34,84.09,492483.876
2026-04-13 20:00:00+00:00,2026-04-13 23:59:59.999000+00:00,84.09,86.81,83.81,86.51,1023810.212
2026-04-14 00:00:00+00:00,2026-04-14 03:59:59.999000+00:00,86.51,86.75,85.37,86.05,677256.664
2026-04-14 04:00:00+00:00,2026-04-14 07:59:59.999000+00:00,86.05,86.2,85.43,85.88,365505.31
2026-04-14 08:00:00+00:00,2026-04-14 11:59:59.999000+00:00,85.88,86.56,85.6,85.78,454441.147
2026-04-14 12:00:00+00:00,2026-04-14 15:59:59.999000+00:00,85.78,87.67,85.25,85.95,992259.414
2026-04-14 16:00:00+00:00,2026-04-14 19:59:59.999000+00:00,85.95,86.17,83.71,83.95,570744.162
2026-04-14 20:00:00+00:00,2026-04-14 23:59:59.999000+00:00,83.94,84.14,83.3,83.72,472777.995
2026-04-15 00:00:00+00:00,2026-04-15 03:59:59.999000+00:00,83.72,84.06,83.13,83.45,493483.224
2026-04-15 04:00:00+00:00,2026-04-15 07:59:59.999000+00:00,83.45,83.79,82.65,82.92,363848.672
