open_time,close_time,open,high,low,close,volume
2025-05-13 00:00:00+00:00,2025-05-13 23:59:59.999000+00:00,0.7754,0.89,0.7191,0.8235,5836127.94599
2025-05-14 00:00:00+00:00,2025-05-14 23:59:59.999000+00:00,0.8235,0.8268,0.7476,0.7641,1342851.83277
2025-05-15 00:00:00+00:00,2025-05-15 23:59:59.999000+00:00,0.7644,0.802,0.6861,0.7127,2935947.95735
2025-05-16 00:00:00+00:00,2025-05-16 23:59:59.999000+00:00,0.7122,0.7579,0.6815,0.6825,1224973.88229
2025-05-17 00:00:00+00:00,2025-05-17 23:59:59.999000+00:00,0.6817,0.6856,0.6353,0.6463,2293502.96581
2025-05-18 00:00:00+00:00,2025-05-18 23:59:59.999000+00:00,0.6485,0.7489,0.6467,0.7189,2017108.25524
2025-05-19 00:00:00+00:00,2025-05-19 23:59:59.999000+00:00,0.7184,0.745,0.6435,0.7038,3157081.54941
2025-05-20 00:00:00+00:00,2025-05-20 23:59:59.999000+00:00,0.7055,0.7728,0.6927,0.7392,1910485.55154
2025-05-21 00:00:00+00:00,2025-05-21 23:59:59.999000+00:00,0.737,0.8329,0.721,0.7815,2557142.56719
2025-05-22 00:00:00+00:00,2025-05-22 23:59:59.999000+00:00,0.7813,0.9315,0.7806,0.8988,4115245.74349
2025-05-23 00:00:00+00:00,2025-05-23 23:59:59.999000+00:00,0.8997,0.9697,0.8408,0.8542,3479251.762
2025-05-24 00:00:00+00:00,2025-05-24 23:59:59.999000+00:00,0.8581,0.9123,0.848,0.8847,1069753.17151
2025-05-25 00:00:00+00:00,2025-05-25 23:59:59.999000+00:00,0.8897,0.9194,0.82,0.9048,1582318.82239
2025-05-26 00:00:00+00:00,2025-05-26 23:59:59.999000+00:00,0.9057,0.925,0.8324,0.8436,1363870.48039
2025-05-27 00:00:00+00:00,2025-05-27 23:59:59.999000+00:00,0.8449,0.9769,0.8171,0.9138,3238225.58115
2025-05-28 00:00:00+00:00,2025-05-28 23:59:59.999000+00:00,0.9116,1.3,0.905,1.0545,7405047.32111
2025-05-29 00:00:00+00:00,2025-05-29 23:59:59.999000+00:00,1.0552,1.2207,1.0445,1.1117,6515809.38734
2025-05-30 00:00:00+00:00,2025-05-30 23:59:59.999000+00:00,1.1108,1.1704,0.9838,0.9844,4774871.24945
2025-05-31 00:00:00+00:00,2025-05-31 23:59:59.999000+00:00,0.986,1.0499,0.9244,0.998,2857337.74371
2025-06-01 00:00:00+00:00,2025-06-01 23:59:59.999000+00:00,0.9994,1.0891,0.9172,1.0246,5142681.23437
2025-06-02 00:00:00+00:00,2025-06-02 23:59:59.999000+00:00,1.0258,1.1444,0.956,1.1359,5635166.37359
2025-06-03 00:00:00+00:00,2025-06-03 23:59:59.999000+00:00,1.1348,1.1718,1.0479,1.093,4476024.52782
2025-06-04 00:00:00+00:00,2025-06-04 23:59:59.999000+00:00,1.0932,1.25,1.0645,1.1401,6737041.18797
2025-06-05 00:00:00+00:00,2025-06-05 23:59:59.999000+00:00,1.1418,1.2306,1.0292,1.0799,9630016.96354
2025-06-06 00:00:00+00:00,2025-06-06 23:59:59.999000+00:00,1.0788,1.189,1.0595,1.0805,8178680.78513
2025-06-07 00:00:00+00:00,2025-06-07 23:59:59.999000+00:00,1.0792,1.17,1.0699,1.1626,3873780.12857
2025-06-08 00:00:00+00:00,2025-06-08 23:59:59.999000+00:00,1.1652,1.2958,1.14,1.2572,6961593.01087
2025-06-09 00:00:00+00:00,2025-06-09 23:59:59.999000+00:00,1.2554,1.4308,1.24,1.4204,6976219.43664
2025-06-10 00:00:00+00:00,2025-06-10 23:59:59.999000+00:00,1.4177,1.64,1.351,1.5901,6040717.92668
2025-06-11 00:00:00+00:00,2025-06-11 23:59:59.999000+00:00,1.5899,1.745,1.521,1.613,6416751.63453
2025-06-12 00:00:00+00:00,2025-06-12 23:59:59.999000+00:00,1.6141,1.7348,1.5096,1.5791,6376574.25149
2025-06-13 00:00:00+00:00,2025-06-13 23:59:59.999000+00:00,1.5778,1.5778,1.29,1.5524,11656663.59996
2025-06-14 00:00:00+00:00,2025-06-14 23:59:59.999000+00:00,1.5546,1.6029,1.3243,1.4232,3882650.04267
2025-06-15 00:00:00+00:00,2025-06-15 23:59:59.999000+00:00,1.4226,1.5373,1.3773,1.4912,5578047.27333
2025-06-16 00:00:00+00:00,2025-06-16 23:59:59.999000+00:00,1.487,1.7116,1.444,1.4749,6682711.09657
2025-06-17 00:00:00+00:00,2025-06-17 23:59:59.999000+00:00,1.4747,1.5313,1.2915,1.2952,9048161.68211
2025-06-18 00:00:00+00:00,2025-06-18 23:59:59.999000+00:00,1.2952,1.4616,1.2463,1.4594,7683656.32703
2025-06-19 00:00:00+00:00,2025-06-19 23:59:59.999000+00:00,1.4616,1.4957,1.2903,1.3179,5683439.44601
2025-06-20 00:00:00+00:00,2025-06-20 23:59:59.999000+00:00,1.3182,1.3612,1.05,1.093,8571001.79317
2025-06-21 00:00:00+00:00,2025-06-21 23:59:59.999000+00:00,1.0891,1.1073,0.9328,1.0349,5862580.59609
2025-06-22 00:00:00+00:00,2025-06-22 23:59:59.999000+00:00,1.0355,1.0695,0.9227,1.052,7215162.87824
2025-06-23 00:00:00+00:00,2025-06-23 23:59:59.999000+00:00,1.0507,1.2472,0.9738,1.2161,10274872.54842
2025-06-24 00:00:00+00:00,2025-06-24 23:59:59.999000+00:00,1.219,1.3985,1.1907,1.3326,7440881.11507
2025-06-25 00:00:00+00:00,2025-06-25 23:59:59.999000+00:00,1.336,1.4125,1.2447,1.2838,5829503.67108
2025-06-26 00:00:00+00:00,2025-06-26 23:59:59.999000+00:00,1.2823,1.3578,1.1618,1.1714,4839161.39142
2025-06-27 00:00:00+00:00,2025-06-27 23:59:59.999000+00:00,1.1721,1.2143,1.0944,1.1522,5366131.95663
2025-06-28 00:00:00+00:00,2025-06-28 23:59:59.999000+00:00,1.152,1.3227,1.1451,1.2767,3578748.39846
2025-06-29 00:00:00+00:00,2025-06-29 23:59:59.999000+00:00,1.274,1.3656,1.2453,1.3374,3484825.32353
2025-06-30 00:00:00+00:00,2025-06-30 23:59:59.999000+00:00,1.3379,1.38,1.1893,1.2047,4742130.07959
2025-07-01 00:00:00+00:00,2025-07-01 23:59:59.999000+00:00,1.2059,1.2437,1.0722,1.0949,9040540.97673
2025-07-02 00:00:00+00:00,2025-07-02 23:59:59.999000+00:00,1.0948,1.3266,1.0782,1.2368,10543640.72384
2025-07-03 00:00:00+00:00,2025-07-03 23:59:59.999000+00:00,1.2375,1.3488,1.2155,1.2782,5231375.25597
2025-07-04 00:00:00+00:00,2025-07-04 23:59:59.999000+00:00,1.2785,1.33,1.1688,1.2108,4061629.69587
2025-07-05 00:00:00+00:00,2025-07-05 23:59:59.999000+00:00,1.2154,1.281,1.1941,1.2296,2131133.54057
2025-07-06 00:00:00+00:00,2025-07-06 23:59:59.999000+00:00,1.2298,1.3477,1.197,1.3,3357626.45732
2025-07-07 00:00:00+00:00,2025-07-07 23:59:59.999000+00:00,1.3007,1.38,1.2184,1.2616,4876307.29194
2025-07-08 00:00:00+00:00,2025-07-08 23:59:59.999000+00:00,1.2576,1.39,1.2274,1.3685,5299657.18512
2025-07-09 00:00:00+00:00,2025-07-09 23:59:59.999000+00:00,1.3677,1.5217,1.3178,1.5,7707592.70033
2025-07-10 00:00:00+00:00,2025-07-10 23:59:59.999000+00:00,1.503,1.6428,1.4735,1.5983,4824075.36625
2025-07-11 00:00:00+00:00,2025-07-11 23:59:59.999000+00:00,1.6008,1.7261,1.571,1.6233,4578094.75628
2025-07-12 00:00:00+00:00,2025-07-12 23:59:59.999000+00:00,1.6283,1.6665,1.4913,1.5349,3547712.62206
2025-07-13 00:00:00+00:00,2025-07-13 23:59:59.999000+00:00,1.5348,1.6387,1.4301,1.5505,5591744.18778
2025-07-14 00:00:00+00:00,2025-07-14 23:59:59.999000+00:00,1.5554,1.6822,1.4874,1.509,6058435.87327
2025-07-15 00:00:00+00:00,2025-07-15 23:59:59.999000+00:00,1.5085,1.6266,1.4279,1.6017,7704423.43906
2025-07-16 00:00:00+00:00,2025-07-16 23:59:59.999000+00:00,1.5959,1.9123,1.5436,1.802,7887114.36144
2025-07-17 00:00:00+00:00,2025-07-17 23:59:59.999000+00:00,1.805,1.949,1.6789,1.788,6231930.33537
2025-07-18 00:00:00+00:00,2025-07-18 23:59:59.999000+00:00,1.7874,1.9288,1.6422,1.7583,8688084.87451
2025-07-19 00:00:00+00:00,2025-07-19 23:59:59.999000+00:00,1.7587,1.8499,1.7167,1.81,3327887.44842
2025-07-20 00:00:00+00:00,2025-07-20 23:59:59.999000+00:00,1.8075,2.0316,1.77,1.8872,5473349.34703
2025-07-21 00:00:00+00:00,2025-07-21 23:59:59.999000+00:00,1.8861,2.0386,1.8509,1.9287,5007144.18169
2025-07-22 00:00:00+00:00,2025-07-22 23:59:59.999000+00:00,1.9302,2.0149,1.7804,1.9907,5505725.00622
2025-07-23 00:00:00+00:00,2025-07-23 23:59:59.999000+00:00,1.9867,2.0566,1.7975,1.8599,4859148.83606
2025-07-24 00:00:00+00:00,2025-07-24 23:59:59.999000+00:00,1.8564,1.9346,1.651,1.7461,6029147.28256
2025-07-25 00:00:00+00:00,2025-07-25 23:59:59.999000+00:00,1.752,1.9449,1.6555,1.9341,5836107.38097
2025-07-26 00:00:00+00:00,2025-07-26 23:59:59.999000+00:00,1.9404,2.04,1.9273,1.9642,4419945.82361
2025-07-27 00:00:00+00:00,2025-07-27 23:59:59.999000+00:00,1.9643,2.1944,1.9439,2.1485,4110848.79764
2025-07-28 00:00:00+00:00,2025-07-28 23:59:59.999000+00:00,2.1437,2.2799,2.1,2.1299,3679329.42873
2025-07-29 00:00:00+00:00,2025-07-29 23:59:59.999000+00:00,2.1362,2.2221,1.9533,2.0032,4044624.00102
2025-07-30 00:00:00+00:00,2025-07-30 23:59:59.999000+00:00,2.0001,2.0549,1.7585,1.8214,4817540.07088
2025-07-31 00:00:00+00:00,2025-07-31 23:59:59.999000+00:00,1.8206,2.0192,1.6109,1.627,7157815.98171
2025-08-01 00:00:00+00:00,2025-08-01 23:59:59.999000+00:00,1.6281,1.675,1.5058,1.5352,5301686.29414
2025-08-02 00:00:00+00:00,2025-08-02 23:59:59.999000+00:00,1.5363,1.5813,1.4218,1.494,3565145.41596
2025-08-03 00:00:00+00:00,2025-08-03 23:59:59.999000+00:00,1.4916,1.699,1.4754,1.6088,3642487.93736
2025-08-04 00:00:00+00:00,2025-08-04 23:59:59.999000+00:00,1.6105,1.767,1.5836,1.7156,4858487.14822
2025-08-05 00:00:00+00:00,2025-08-05 23:59:59.999000+00:00,1.7139,1.7347,1.5574,1.6399,2263808.20803
2025-08-06 00:00:00+00:00,2025-08-06 23:59:59.999000+00:00,1.635,1.7272,1.5508,1.6916,3341383.229
2025-08-07 00:00:00+00:00,2025-08-07 23:59:59.999000+00:00,1.6916,1.8332,1.6599,1.824,3556410.44007
2025-08-08 00:00:00+00:00,2025-08-08 23:59:59.999000+00:00,1.8225,1.8454,1.6662,1.7833,3151397.02335
2025-08-09 00:00:00+00:00,2025-08-09 23:59:59.999000+00:00,1.784,2.0,1.778,1.9448,4136795.44556
2025-08-10 00:00:00+00:00,2025-08-10 23:59:59.999000+00:00,1.9453,2.0,1.85,1.9443,1442067.10462
2025-08-11 00:00:00+00:00,2025-08-11 23:59:59.999000+00:00,1.9412,1.99,1.7327,1.7568,2474893.62653
2025-08-12 00:00:00+00:00,2025-08-12 23:59:59.999000+00:00,1.7617,1.8464,1.693,1.7956,2776687.91773
2025-08-13 00:00:00+00:00,2025-08-13 23:59:59.999000+00:00,1.7955,1.8469,1.6643,1.7294,4087060.28818
