open_time,close_time,open,high,low,close,volume
2026-05-28 08:00:00+00:00,2026-05-28 11:59:59.999000+00:00,0.3226,0.3254,0.3197,0.322,70299.89943
2026-05-28 12:00:00+00:00,2026-05-28 15:59:59.999000+00:00,0.3227,0.3233,0.3125,0.318,273630.14549
2026-05-28 16:00:00+00:00,2026-05-28 19:59:59.999000+00:00,0.3174,0.3294,0.3168,0.325,531300.53205
2026-05-28 20:00:00+00:00,2026-05-28 23:59:59.999000+00:00,0.3241,0.3303,0.3218,0.3246,223910.81245
2026-05-29 00:00:00+00:00,2026-05-29 03:59:59.999000+00:00,0.3257,0.3272,0.32,0.32,42496.46392
2026-05-29 04:00:00+00:00,2026-05-29 07:59:59.999000+00:00,0.3205,0.3237,0.3179,0.3198,280929.27456
2026-05-29 08:00:00+00:00,2026-05-29 11:59:59.999000+00:00,0.3201,0.3243,0.3163,0.3176,126459.65138
2026-05-29 12:00:00+00:00,2026-05-29 15:59:59.999000+00:00,0.318,0.3328,0.3105,0.327,394477.78639
2026-05-29 16:00:00+00:00,2026-05-29 19:59:59.999000+00:00,0.3281,0.3319,0.3234,0.3269,395599.13065
2026-05-29 20:00:00+00:00,2026-05-29 23:59:59.999000+00:00,0.3271,0.3281,0.3219,0.325,97321.92829
2026-05-30 00:00:00+00:00,2026-05-30 03:59:59.999000+00:00,0.3253,0.331,0.3243,0.3275,62531.0289
2026-05-30 04:00:00+00:00,2026-05-30 07:59:59.999000+00:00,0.3282,0.3339,0.3228,0.3339,102155.85104
2026-05-30 08:00:00+00:00,2026-05-30 11:59:59.999000+00:00,0.3337,0.3351,0.3304,0.3304,32213.1553
2026-05-30 12:00:00+00:00,2026-05-30 15:59:59.999000+00:00,0.3297,0.3324,0.3269,0.3288,56524.24974
2026-05-30 16:00:00+00:00,2026-05-30 19:59:59.999000+00:00,0.3279,0.3358,0.3279,0.3354,111124.48979
2026-05-30 20:00:00+00:00,2026-05-30 23:59:59.999000+00:00,0.3346,0.3393,0.3312,0.3332,61967.28637
2026-05-31 00:00:00+00:00,2026-05-31 03:59:59.999000+00:00,0.3334,0.336,0.331,0.335,12232.53015
2026-05-31 04:00:00+00:00,2026-05-31 07:59:59.999000+00:00,0.3342,0.3355,0.3297,0.3307,22689.28936
