symbol,qa,status,score_0_10,exit_risk_0_10,1H_rsi,1H_mfi,1H_macd_percentile,4H_rsi,4H_mfi,4H_macd_percentile,1D_rsi,1D_mfi,1D_macd_percentile,extreme_confluence,zones,source
BTC,PASS,LONG_SETUP_WATCH,8,2,49.26920985946328,36.193092589104104,52.0,50.64355844267894,49.20170915691049,16.0,64.31554981919358,56.75226245287125,68.8,NORMAL,BRAK POTWIERDZONYCH STREF,SPOT
ETH,PASS,WATCH_SUPPLY,8,5,51.82757294724967,25.12227888439442,43.2,51.34638770092811,41.48244479793772,32.4,63.630935813914085,55.857831618314684,61.199999999999996,NORMAL,STREFY POTWIERDZONE,SPOT
SOL,PASS,WATCH_SUPPLY,9,1,65.58722624399131,61.943815123703374,45.6,68.00993043230116,74.07547728107197,81.6,69.44417764972718,59.49588256417248,83.6,NORMAL,STREFY POTWIERDZONE,SPOT
LINK,PASS,WATCH_SUPPLY,8,3,59.238478973863565,19.890007986526186,18.0,67.16397062404668,66.4826341886095,94.39999999999999,67.25083814255017,69.21153072422972,90.8,NORMAL,STREFY POTWIERDZONE,SPOT
ONDO,PASS,WATCH_SUPPLY,6,3,56.983260614921186,62.19871914570373,7.199999999999999,70.42914573566011,80.74005678116337,97.6,74.32443726167253,81.69765295600237,100.0,HIGH_PRIORITY_OVERHEAT,STREFY POTWIERDZONE,SPOT
RENDER,PASS,WATCH_SUPPLY,9,3,58.0330892074591,38.77355260804194,31.6,65.7900878477336,60.83732599125927,79.60000000000001,71.50115932285455,84.0728573111073,97.6,OVERHEAT_CONFLUENCE,STREFY POTWIERDZONE,SPOT
FLOKI,PASS,WATCH_SUPPLY,7,5,54.12773170746074,41.81510459027922,44.4,55.65568041103793,51.043173009585864,36.4,60.754253708518235,63.7023683147934,82.39999999999999,NORMAL,STREFY POTWIERDZONE,SPOT
PEPE,PASS,WATCH_SUPPLY,8,3,52.97007909748537,18.964335979949254,53.2,51.51923701495593,46.82038110340871,19.6,62.36801415972169,68.70384343825168,93.2,NORMAL,STREFY POTWIERDZONE,SPOT
SPX6900,PASS,WAIT,5,0,59.91247868207495,46.21359069549169,62.0,50.3985505683355,31.87491436602589,66.8,47.37459957721003,36.886228763801455,17.2,NORMAL,STREFY POTWIERDZONE,SPOT_KRAKEN
XRP,PASS,WATCH_SUPPLY,8,3,58.23031316073446,42.69627320172647,28.799999999999997,59.21929827795266,66.0285252249434,62.4,64.11148141142519,59.04132742964416,88.8,NORMAL,STREFY POTWIERDZONE,SPOT
XLM,PASS,WATCH_SUPPLY,8,3,59.46806239063291,46.75253155240408,35.199999999999996,61.26265167684232,53.36590734466515,78.0,65.18056118154067,67.01293675520208,94.39999999999999,NORMAL,STREFY POTWIERDZONE,SPOT
HBAR,PASS,WATCH_SUPPLY,8,3,57.36560504689824,43.79686350506297,59.199999999999996,60.00299394241474,56.34808161024137,35.199999999999996,67.71257085757875,71.26337451380788,96.8,WATCH_EXTREMES,STREFY POTWIERDZONE,SPOT
AVAX,PASS,WATCH_SUPPLY,8,3,67.23087088395135,63.20053427805035,84.39999999999999,55.45110341184018,47.02122226185961,22.400000000000002,69.23781677773387,70.40829225101888,98.0,WATCH_EXTREMES,STREFY POTWIERDZONE,SPOT
AWE,PASS,WATCH_SUPPLY,7,3,54.85448827576621,58.8941662279182,18.8,62.61014125702076,66.19199470920609,88.4,59.61670554232927,71.54301243228468,64.0,NORMAL,STREFY POTWIERDZONE,SPOT
