symbol,label,overheat_score,oversold_score,extremes
BTC,NORMAL,0,2,1H:MFI_OVERSOLD_WARNING | 1H:MACD_WARNING_NEGATIVE
ETH,NORMAL,0,2,1H:MFI_EXTREME_OVERSOLD | 1H:MACD_WARNING_NEGATIVE
SOL,NORMAL,0,1,1H:MFI_EXTREME_OVERSOLD
LINK,WATCH_EXTREMES,0,4,1H:MFI_OVERSOLD_WARNING | 1H:MACD_EXTREME_NEGATIVE | 4H:MACD_WARNING_NEGATIVE
ONDO,WATCH_EXTREMES,3,4,1H:MFI_OVERSOLD_WARNING | 1H:MACD_WARNING_NEGATIVE | 4H:MACD_EXTREME_NEGATIVE | 1D:MACD_EXTREME_POSITIVE
RENDER,WATCH_EXTREMES,3,4,1H:MFI_OVERSOLD_WARNING | 1H:MACD_EXTREME_NEGATIVE | 4H:MACD_EXTREME_NEGATIVE | 1D:MACD_EXTREME_POSITIVE
FLOKI,NORMAL,0,2,1H:MFI_OVERSOLD_WARNING | 1H:MACD_EXTREME_NEGATIVE
PEPE,OVERHEAT_CONFLUENCE,9,5,1H:RSI_OVERSOLD | 1H:MFI_EXTREME_OVERSOLD | 1H:MACD_EXTREME_NEGATIVE | 4H:MACD_WARNING_NEGATIVE | 1D:RSI_OVERBOUGHT | 1D:MACD_EXTREME_POSITIVE | 1D:FOMO_HARD_BLOCK
SPX6900,NORMAL,0,2,1H:RSI_OVERSOLD | 1H:MACD_EXTREME_NEGATIVE
XRP,NORMAL,0,2,1H:MFI_OVERSOLD_WARNING | 1H:MACD_EXTREME_NEGATIVE
XLM,NORMAL,0,2,1H:MFI_EXTREME_OVERSOLD | 1H:MACD_WARNING_NEGATIVE
HBAR,OVERHEAT_CONFLUENCE,9,4,1H:MFI_EXTREME_OVERSOLD | 1H:MACD_EXTREME_NEGATIVE | 4H:MACD_WARNING_NEGATIVE | 1D:RSI_OVERBOUGHT | 1D:MACD_EXTREME_POSITIVE | 1D:FOMO_HARD_BLOCK
AVAX,OVERHEAT_CONFLUENCE,9,3,1H:MACD_EXTREME_NEGATIVE | 4H:MACD_EXTREME_NEGATIVE | 1D:RSI_OVERBOUGHT | 1D:MACD_EXTREME_POSITIVE | 1D:FOMO_HARD_BLOCK
AWE,NORMAL,0,0,
