symbol,status_pl,1H,4H,1D,zones_ready,source_1H,source_4H,source_1D
BTC,GOTOWY,True,True,True,False,SPOT,SPOT,SPOT
ETH,GOTOWY,True,True,True,True,SPOT,SPOT,SPOT
SOL,GOTOWY,True,True,True,True,SPOT,SPOT,SPOT
LINK,GOTOWY,True,True,True,True,SPOT,SPOT,SPOT
ONDO,GOTOWY,True,True,True,True,SPOT,SPOT,SPOT
RENDER,GOTOWY,True,True,True,False,SPOT,SPOT,SPOT
FLOKI,GOTOWY,True,True,True,False,SPOT,SPOT,SPOT
PEPE,GOTOWY,True,True,True,False,SPOT,SPOT,SPOT
SPX6900,GOTOWY,True,True,True,False,SPOT_KRAKEN,SPOT_KRAKEN,SPOT_KRAKEN
XRP,GOTOWY,True,True,True,False,SPOT,SPOT,SPOT
XLM,GOTOWY,True,True,True,False,SPOT,SPOT,SPOT
HBAR,GOTOWY,True,True,True,False,SPOT,SPOT,SPOT
