generated_at_utc,symbol,scope,status,score,exit_risk,1H_rsi,1H_macd_hist,4H_rsi,4H_macd_hist,4H_trend,1D_rsi,1D_trend,in_supply,in_demand,market_phase,market_reader_state,market_reader_conflict,1H_mfi,1H_macd_pct,1H_macd_z,1H_extreme,4H_mfi,4H_macd_pct,4H_macd_z,4H_extreme,1D_mfi,1D_macd_pct,1D_macd_z,1D_extreme,overall_extreme,weighted_heat,weighted_cold
2026-09-23T10:46:00.680140+00:00,AAVE,TEST_VALIDATION,LONG_SETUP_RETEST,10,0,57.231895220082926,0.1640827277422367,65.7048471696317,0.4800531580825926,4.0,67.09314952544511,4.0,,,ALT_ROTATION_CANDIDATE,CONTRACT_READY_NO_DATA,False,,,,,,,,,,,,,,,
2026-09-23T10:46:00.680140+00:00,ETH,PRODUCTION,WAIT,6,5,42.083930244481785,-3.9963855567708384,63.33774536451031,-2.557585220091859,4.0,69.78959283195714,4.0,True,False,ALT_ROTATION_CANDIDATE,CONTRACT_READY_NO_DATA,False,,,,,,,,,,,,,,,
2026-09-23T10:46:00.680140+00:00,HBAR,TEST_VALIDATION,WAIT,6,2,49.968634701303806,-0.0005173358354423,71.89150423240439,0.0005217937492883,4.0,79.6945984620717,4.0,,,ALT_ROTATION_CANDIDATE,CONTRACT_READY_NO_DATA,False,,,,,,,,,,,,,,,
2026-09-23T10:46:00.680140+00:00,LINK,PRODUCTION,WAIT,5,5,44.937103461498495,-0.020371364857074,58.66085814411485,-0.0261100501416998,4.0,64.81991543568897,4.0,True,False,ALT_ROTATION_CANDIDATE,CONTRACT_READY_NO_DATA,False,,,,,,,,,,,,,,,
2026-09-23T10:46:00.680140+00:00,ONDO,PRODUCTION,WAIT,5,5,48.59382526743829,-0.0002557378506638,56.21343510638783,-0.002541687101558,4.0,65.65855107613669,4.0,True,False,ALT_ROTATION_CANDIDATE,CONTRACT_READY_NO_DATA,False,,,,,,,,,,,,,,,
2026-09-23T10:46:00.680140+00:00,SOL,PRODUCTION,LONG_SETUP_WATCH,7,5,45.80762366534746,-0.2057376303288451,66.2784069715396,-0.0696593241969374,4.0,69.44587335600242,4.0,True,False,ALT_ROTATION_CANDIDATE,CONTRACT_READY_NO_DATA,False,,,,,,,,,,,,,,,
2026-09-23T13:02:40.890335+00:00,AAVE,TEST_VALIDATION,LONG_SETUP_RETEST,9,2,49.08363320127814,,61.861398614881885,,,67.09314952544511,,,,ALT_ROTATION_CANDIDATE,CONTRACT_READY_NO_DATA,False,49.634284206723365,20.0,-0.8460709838436059,NORMAL,69.90280447034814,69.19999999999999,0.3311157524602928,NORMAL,65.24573203679208,82.39999999999999,0.8213743352246436,NORMAL,NORMAL,0.0,0.0
2026-09-23T13:02:40.890335+00:00,ETH,PRODUCTION,WATCH_SUPPLY,5,5,37.94573803105441,,59.556952308473726,,,69.78959283195714,,True,False,ALT_ROTATION_CANDIDATE,CONTRACT_READY_NO_DATA,False,26.689104758123307,16.400000000000002,-1.0751060039636293,NORMAL,75.39306100305261,20.8,-0.6026274172660947,NORMAL,59.47351469746227,69.19999999999999,0.597897023304397,NORMAL,NORMAL,0.0,0.0
2026-09-23T13:02:40.890335+00:00,HBAR,TEST_VALIDATION,LONG_SETUP_RETEST,8,2,40.00854685162129,,62.793237192218264,,,79.6945984620717,,,,ALT_ROTATION_CANDIDATE,CONTRACT_READY_NO_DATA,False,26.98206345547449,0.0,-4.567263132066564,WARNING_OVERSOLD,81.7494817012205,60.0,0.1164739231269903,MIXED_EXTREME_CONTEXT,75.3207408407051,98.8,2.8952844346782785,EXTREME_OVERHEAT,OVERHEAT_CONFLUENCE,14.0,2.0
2026-09-23T13:02:40.890335+00:00,LINK,PRODUCTION,WATCH_SUPPLY,6,5,37.253459757752005,,53.32068230193048,,,64.81991543568897,,True,False,ALT_ROTATION_CANDIDATE,CONTRACT_READY_NO_DATA,False,43.298473036611405,9.6,-1.2915341312912607,NORMAL,54.13063173486307,19.2,-0.8466986743633934,NORMAL,61.03802545369146,80.0,0.7759764649978359,NORMAL,NORMAL,0.0,0.0
2026-09-23T13:02:40.890335+00:00,ONDO,PRODUCTION,WATCH_SUPPLY,5,5,43.75428980138092,,56.262185843102245,,,65.65855107613669,,True,False,ALT_ROTATION_CANDIDATE,CONTRACT_READY_NO_DATA,False,38.47822256616596,30.8,-0.4394420323833189,NORMAL,34.28376941210226,5.2,-1.5097135146474507,NORMAL,68.64325123498635,98.0,2.3593914400864415,WARNING_OVERHEAT,WATCH_EXTREMES,6.0,0.0
2026-09-23T13:02:40.890335+00:00,SOL,PRODUCTION,WATCH_SUPPLY,6,5,42.52538647273518,,62.2570110665215,,,69.44587335600242,,True,False,ALT_ROTATION_CANDIDATE,CONTRACT_READY_NO_DATA,False,31.770990658981816,20.0,-0.9722812050359735,NORMAL,72.29584235005288,30.4,-0.5883676137129642,NORMAL,62.49032941710636,84.39999999999999,0.9684996841969282,NORMAL,NORMAL,0.0,0.0
