open_time,close_time,open,high,low,close,volume
2025-05-15 00:00:00+00:00,2025-05-15 23:59:59.999000+00:00,0.3037,0.3079,0.2868,0.2931,79903153.0
2025-05-16 00:00:00+00:00,2025-05-16 23:59:59.999000+00:00,0.2931,0.3009,0.289,0.2932,60696921.0
2025-05-17 00:00:00+00:00,2025-05-17 23:59:59.999000+00:00,0.2932,0.2942,0.2814,0.2864,40316502.0
2025-05-18 00:00:00+00:00,2025-05-18 23:59:59.999000+00:00,0.2865,0.2977,0.2813,0.2925,51992495.0
2025-05-19 00:00:00+00:00,2025-05-19 23:59:59.999000+00:00,0.2926,0.2941,0.2769,0.2867,56515854.0
2025-05-20 00:00:00+00:00,2025-05-20 23:59:59.999000+00:00,0.2867,0.2897,0.28,0.2875,48589198.0
2025-05-21 00:00:00+00:00,2025-05-21 23:59:59.999000+00:00,0.2876,0.2982,0.2839,0.2932,63422902.0
2025-05-22 00:00:00+00:00,2025-05-22 23:59:59.999000+00:00,0.2933,0.3045,0.2929,0.3042,65223433.0
2025-05-23 00:00:00+00:00,2025-05-23 23:59:59.999000+00:00,0.3042,0.3124,0.2839,0.2852,90864778.0
2025-05-24 00:00:00+00:00,2025-05-24 23:59:59.999000+00:00,0.2852,0.2915,0.284,0.286,30026983.0
2025-05-25 00:00:00+00:00,2025-05-25 23:59:59.999000+00:00,0.286,0.2879,0.2776,0.2878,40417064.0
2025-05-26 00:00:00+00:00,2025-05-26 23:59:59.999000+00:00,0.2878,0.2905,0.2832,0.2858,32270266.0
2025-05-27 00:00:00+00:00,2025-05-27 23:59:59.999000+00:00,0.2858,0.293,0.281,0.2871,39502269.0
2025-05-28 00:00:00+00:00,2025-05-28 23:59:59.999000+00:00,0.2871,0.2899,0.279,0.2853,46659512.0
2025-05-29 00:00:00+00:00,2025-05-29 23:59:59.999000+00:00,0.2853,0.2887,0.2778,0.2788,53222611.0
2025-05-30 00:00:00+00:00,2025-05-30 23:59:59.999000+00:00,0.2789,0.2801,0.2634,0.2651,77455891.0
2025-05-31 00:00:00+00:00,2025-05-31 23:59:59.999000+00:00,0.2651,0.2677,0.259,0.2641,40126803.0
2025-06-01 00:00:00+00:00,2025-06-01 23:59:59.999000+00:00,0.2641,0.2681,0.2619,0.2674,26471937.0
2025-06-02 00:00:00+00:00,2025-06-02 23:59:59.999000+00:00,0.2674,0.2719,0.2636,0.2719,34988811.0
2025-06-03 00:00:00+00:00,2025-06-03 23:59:59.999000+00:00,0.272,0.2763,0.2698,0.2728,46235173.0
2025-06-04 00:00:00+00:00,2025-06-04 23:59:59.999000+00:00,0.2728,0.2757,0.2653,0.2666,41478894.0
2025-06-05 00:00:00+00:00,2025-06-05 23:59:59.999000+00:00,0.2667,0.269,0.2523,0.257,89171792.0
2025-06-06 00:00:00+00:00,2025-06-06 23:59:59.999000+00:00,0.257,0.2666,0.2557,0.2628,35151835.0
2025-06-07 00:00:00+00:00,2025-06-07 23:59:59.999000+00:00,0.2628,0.2677,0.2619,0.2646,19475075.0
2025-06-08 00:00:00+00:00,2025-06-08 23:59:59.999000+00:00,0.2646,0.2746,0.2631,0.2677,45180356.0
2025-06-09 00:00:00+00:00,2025-06-09 23:59:59.999000+00:00,0.2678,0.2751,0.2639,0.2749,50191065.0
2025-06-10 00:00:00+00:00,2025-06-10 23:59:59.999000+00:00,0.275,0.2816,0.272,0.2805,55018948.0
2025-06-11 00:00:00+00:00,2025-06-11 23:59:59.999000+00:00,0.2805,0.2851,0.276,0.2768,61299701.0
2025-06-12 00:00:00+00:00,2025-06-12 23:59:59.999000+00:00,0.2768,0.2784,0.2666,0.2673,45285759.0
2025-06-13 00:00:00+00:00,2025-06-13 23:59:59.999000+00:00,0.2673,0.2673,0.2532,0.2608,101403507.0
2025-06-14 00:00:00+00:00,2025-06-14 23:59:59.999000+00:00,0.2608,0.2611,0.2529,0.2564,25309710.0
2025-06-15 00:00:00+00:00,2025-06-15 23:59:59.999000+00:00,0.2563,0.2599,0.2545,0.2587,21441243.0
2025-06-16 00:00:00+00:00,2025-06-16 23:59:59.999000+00:00,0.2587,0.2704,0.2564,0.2616,58093957.0
2025-06-17 00:00:00+00:00,2025-06-17 23:59:59.999000+00:00,0.2616,0.2638,0.2503,0.2519,48820207.0
2025-06-18 00:00:00+00:00,2025-06-18 23:59:59.999000+00:00,0.2519,0.2542,0.2458,0.2524,44927919.0
2025-06-19 00:00:00+00:00,2025-06-19 23:59:59.999000+00:00,0.2524,0.2532,0.2473,0.2496,24134942.0
2025-06-20 00:00:00+00:00,2025-06-20 23:59:59.999000+00:00,0.2496,0.2517,0.2396,0.242,45871708.0
2025-06-21 00:00:00+00:00,2025-06-21 23:59:59.999000+00:00,0.242,0.2448,0.2326,0.2372,45548641.0
2025-06-22 00:00:00+00:00,2025-06-22 23:59:59.999000+00:00,0.2373,0.239,0.2168,0.2289,89548209.0
2025-06-23 00:00:00+00:00,2025-06-23 23:59:59.999000+00:00,0.2289,0.2462,0.2252,0.2457,65229885.0
2025-06-24 00:00:00+00:00,2025-06-24 23:59:59.999000+00:00,0.2457,0.2498,0.2437,0.2488,37302529.0
2025-06-25 00:00:00+00:00,2025-06-25 23:59:59.999000+00:00,0.2488,0.2492,0.2397,0.2413,31682041.0
2025-06-26 00:00:00+00:00,2025-06-26 23:59:59.999000+00:00,0.2414,0.2442,0.2337,0.2342,34870318.0
2025-06-27 00:00:00+00:00,2025-06-27 23:59:59.999000+00:00,0.2342,0.2385,0.2325,0.2368,30028058.0
2025-06-28 00:00:00+00:00,2025-06-28 23:59:59.999000+00:00,0.2369,0.2402,0.2359,0.2389,23599382.0
2025-06-29 00:00:00+00:00,2025-06-29 23:59:59.999000+00:00,0.2389,0.2423,0.2347,0.2403,28886228.0
2025-06-30 00:00:00+00:00,2025-06-30 23:59:59.999000+00:00,0.2404,0.2432,0.2334,0.238,59896932.0
